2022-01-05 00:24:57  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:57  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:57  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: change unit fields ['comment']
2022-01-05 00:24:57  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:58  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:58  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: change unit fields ['comment']
2022-01-05 00:24:58  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:59  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:59  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: change unit fields ['comment']
2022-01-05 00:24:59  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:59  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:59  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: change unit fields ['comment']
2022-01-05 00:24:59  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:28:05  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:28:06  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:28:08  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:28:08  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:28:10  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:28:10  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:30:48  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:30:48  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: change unit fields ['console']
2022-01-05 00:30:48  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:44:35  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:44:36  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:44:39  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:44:40  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:46:45  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /  ACTION: GET
2022-01-05 00:46:47  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1  ACTION: GET
2022-01-05 00:46:50  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/48  ACTION: GET
